lights,Press_mm_hg,Windspeed,Visibility,Tdewpoint,T-in,RH-in,rv,RH-out,Appliances
30,733.5,25.2,63.0,5.3,18.435,46.742500001249994,13.27543316,88.12833333500001,60
30,733.6,24.0000000012,59.16666667,5.2,18.439166667499997,46.6727083325,18.60619498,88.031666665,60
30,733.7,22.7999999988,55.33333333,5.1,18.4216666675,46.562916666250004,28.64266817,87.578333335,50
40,733.8,21.6,51.5,5.0,18.396250000000002,46.46875,45.4103895,87.711666665,50
40,733.9,20.400000001200002,47.66666667,4.9,18.40875,46.462916666249996,10.08409655,88.44666666500001,60
40,734.0,19.1999999988,43.83333333,4.8,18.3920833325,46.42000000000001,44.91948425,88.883333335,50
50,734.1,18.0,40.0,4.7,18.38791666625,46.3754166675,47.23376343,89.045,60
50,734.1666667,18.6000000012,40.0,4.68,18.37208333375,46.350416666250005,33.03988962,89.12833333,60
40,734.2333333,19.1999999988,40.0,4.67,18.3804166675,46.36135416625,31.45570219,89.44666667,60
40,734.3,19.8,40.0,4.65,18.39583333375,46.47875,3.089313523,89.56333333500001,70
10,734.7333333,21.6,40.0,4.43,18.67125,49.190208332500006,38.492071,89.078333335,100
10,734.85,21.6,40.0,4.35,18.722499999999997,49.13781250125,24.8849621,88.933333335,100
10,734.9666667,21.6,40.0,4.27,18.75875000125,49.03125000000001,35.88092541,88.58,90
30,735.0833333,21.6,40.0,4.18,18.7866666675,49.138020833750005,49.59530474,87.9,70
30,735.2,21.6,40.0,4.1,18.81791666625,48.7458333325,19.00175897,87.38,80
40,735.2333333,21.6,40.0,4.07,18.880000000000003,50.23,38.87226107,87.64833333,140
20,735.2666667,21.6,40.0,4.03,18.964791667500002,51.01166666625001,46.73526156,87.598333335,120
40,735.3333333,21.6,40.0,3.97,18.98999999875,50.79916666625001,32.5836883,86.94833333,110
40,735.3666667,21.6,40.0,3.93,19.039583333750002,50.4595833325,6.277754798,86.748333335,110
30,735.4,21.6,40.0,3.9,19.093333333750003,50.761666666249994,13.36103344,86.531666665,110
20,735.4666667,21.6,40.0,3.87,19.197916667499996,50.64666666624999,19.30570463,86.37833333500001,110
30,735.5333333,21.6,40.0,3.83,19.234166666249997,49.23041666625,0.669516658,86.531666665,100
20,735.6,21.6,40.0,3.8,19.297916667499997,48.12791666625,19.11939785,86.913333335,100
20,735.6666667,21.6,40.0,3.77,19.322916667500003,47.70791666625,43.48454229,87.133333335,100
20,735.7333333,21.6,40.0,3.73,19.378124999999997,47.38958333375,17.01744983,87.15,100
20,735.8,21.6,40.0,3.7,19.401666666249998,47.04249999875,24.10400577,87.1625,110
20,736.2166667,24.599999998799998,40.0,3.78,19.64989583375,46.04958333375001,33.42333691,85.613333335,60
20,736.3,25.2,40.0,3.8,19.6776041675,45.97270833375,39.71199304,85.89500000000001,60
20,736.4,24.599999998799998,37.0,3.85,19.66166666625,46.112500000000004,5.397181294,86.715,60
10,736.5,24.0000000012,34.0,3.9,19.640416666249997,46.197916665,36.1855473,87.463333335,50
20,736.6,23.400000000000002,31.0,3.95,19.60645833375,46.31343749875,20.56372148,88.046666665,70
20,736.7,22.7999999988,28.0,4.0,19.585,46.391041666250004,41.04731471,88.91499999999999,60
20,736.8,22.200000001200003,25.0,4.05,19.536250000000003,46.44375,32.35300969,89.53166666999999,40
10,736.9,21.6,22.0,4.1,19.524166666249997,46.503749998749996,39.14663811,90.316666665,40
20,737.0,21.6,25.0,4.07,19.50125,46.63416666625,27.65181558,90.513333335,30
20,737.1,21.6,28.0,4.03,19.478749999999998,46.72374999875,26.48597901,90.7,40
20,737.2,21.6,31.0,4.0,19.46208333375,46.8670833325,39.46781158,90.596666665,50
10,737.7666667,20.400000001200002,40.0,3.93,19.499583333749996,47.2125,23.88098111,91.71666666499999,120
0,737.9,19.8,40.0,3.95,19.5304166675,47.2575,43.06047384,91.63,50
0,738.0333333,19.1999999988,40.0,3.97,19.49666666625,47.24916666749999,21.90485536,91.796666665,40
0,738.1666667,18.6000000012,40.0,3.98,19.477083333750002,47.39666666625,12.23986385,91.88,50
0,738.3,18.0,40.0,4.0,19.435312500000002,47.47770833375,3.533952357,91.88,40
0,738.4,17.3999999988,40.0,3.93,19.401875,47.5235416675,4.973308009,91.91666666500001,50
0,738.5,16.8000000012,40.0,3.87,19.38041666625,47.55458333375,15.81358536,92.28333333500001,50
0,738.6,16.2,40.0,3.8,19.355833333750002,47.555833332499994,25.93171316,92.765,50
0,738.7,15.5999999988,40.0,3.73,19.32583333375,47.58416666625,33.10025382,92.661666665,40
0,738.8,15.000000001200002,40.0,3.67,19.2789583325,47.554166666250005,20.34150936,92.56333333500001,40
0,738.9,14.4,40.0,3.6,19.26000000125,47.60500000125,45.64379621,92.433333335,30
0,739.0166667,15.5999999988,40.0,3.63,19.237916666249998,47.64000000125,14.68016864,92.56666666999999,20
0,739.1333333,16.8000000012,40.0,3.67,19.22,47.707499999999996,22.95328631,92.71333333,20
0,739.25,18.0,40.0,3.7,19.19125,47.70916666625,16.61973371,93.27250000000001,40
0,739.3666667,19.1999999988,40.0,3.73,19.17458333375,47.72916666625,32.54352335,93.66166667,50
0,739.4833333,20.400000001200002,40.0,3.77,19.15958333375,47.741666666250005,12.90083904,93.815,50
0,739.6,21.6,40.0,3.8,19.12166666625,47.76291666625,23.92726241,94.015,40
